season_id,episode_id,scene_id,utterance_id,speaker,transcript,emotion,character_entities,num_talked_about
s01,e01,c10,u002,Joey Tribbiani,"Great story! But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea... Oh man,",Scared,"['Joey Tribbiani', 'Joey Tribbiani', 'Joey Tribbiani', ""Joey's date"", ""Joey's date"", ""Joey's date""]",6
s01,e01,c10,u003,Chandler Bing,"Angela's the screamer, Andrea has cats.",Joyful,"['Angela Delveccio', 'Andrea']",2
s01,e01,c10,u004,Joey Tribbiani,Right. Thanks. It's June. I'm outta here.,Peaceful,[],0
s01,e01,c10,u005,Ross Geller,"Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask?",Sad,"['Ross Geller', '#GENERAL#']",2
s01,e01,c12,u001,Franny,"Hey, Monica!",Joyful,['Monica Geller'],1
s01,e01,c12,u002,Monica Geller,"Hey Frannie, welcome back! How was Florida?",Neutral,[],0
s01,e01,c12,u003,Franny,"You had sex, didn't you?",Neutral,"['Monica Geller', 'Monica Geller']",2
s01,e01,c12,u004,Monica Geller,How do you do that?,Neutral,['Franny'],1
s01,e01,c12,u005,Franny,"Oh, I hate you, I'm pushing my Aunt Roz through Parrot Jungle and you're having sex! So? Who?",Mad,[],0
s01,e01,c12,u006,Monica Geller,You know Paul?,Neutral,"['Franny', 'Paul the Wine Guy']",2
s01,e01,c12,u007,Franny,"Paul the Wine Guy? Oh yeah, I know Paul.",Neutral,"['Franny', 'Paul the Wine Guy']",2
s01,e01,c12,u008,Monica Geller,You mean you know Paul like I know Paul?,Neutral,"['Franny', 'Franny', 'Paul the Wine Guy', 'Monica Geller', 'Paul the Wine Guy']",5
s01,e01,c12,u009,Franny,"Are you kidding? I take credit for Paul. Y'know before me, there was no snap in his turtle for two years.",Neutral,"['Franny', 'Paul the Wine Guy']",2
s01,e01,c13,u001,Joey Tribbiani,Of course it was a line!,Mad,[],0
s01,e01,c13,u002,Monica Geller,"Why?! Why? Why, why would anybody do something like that?",Mad,[],0
s01,e01,c13,u003,Ross Geller,I assume we're looking for an answer more sophisticated than 'to get you into bed'.,Neutral,"['Ross Geller', 'Ross Geller', 'Joey Tribbiani', 'Phoebe Buffay', 'Monica Geller', 'Monica Geller']",6
s01,e01,c13,u004,Monica Geller,I hate men! I hate men!,Mad,['Monica Geller'],1
s01,e01,c13,u005,Phoebe Buffay,"Oh no, don't hate, you don't want to put that out into the universe.",Peaceful,['Monica Geller'],1
s01,e01,c13,u006,Monica Geller,Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?,Mad,['Monica Geller'],1
s01,e01,c13,u007,Phoebe Buffay,"All right, c'mere, gimme your feet.",Peaceful,"['Phoebe Buffay', 'Monica Geller']",2
s01,e01,c13,u008,Monica Geller,"I just thought he was nice, y'know?",Sad,"['Monica Geller', 'Man 1']",2
s01,e01,c13,u009,Joey Tribbiani,I can't believe you didn't know it was a line!,Joyful,"['Joey Tribbiani', 'Monica Geller']",2
s01,e01,c13,u011,Rachel Green,Guess what?,Neutral,[],0
s01,e01,c13,u012,Ross Geller,You got a job?,Neutral,['Rachel Green'],1
s01,e01,c13,u013,Rachel Green,Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.,Mad,['Rachel Green'],1
s01,e01,c13,u014,Chandler Bing,And yet you're surprisingly upbeat.,Neutral,['Rachel Green'],1
s01,e01,c13,u015,Rachel Green,"You would be too if you found John and David boots on sale, fifty percent off!",Joyful,"['Chandler Bing', 'Chandler Bing', '#OTHER#']",3
s01,e01,c13,u016,Chandler Bing,"Oh, how well you know me...",Neutral,"['Rachel Green', 'Chandler Bing']",2
s01,e01,c13,u017,Rachel Green,"They're my new 'I don't need a job, I don't need my parents, I've got great boots' boots!",Joyful,"['Non-Entity', 'Rachel Green', 'Rachel Green', 'Rachel Green', 'Rachel Green', 'Rachel Green']",6
s01,e01,c13,u018,Monica Geller,How'd you pay for them?,Neutral,"['Rachel Green', 'Non-Entity']",2
s01,e01,c13,u019,Rachel Green,"Uh, credit card.",Neutral,[],0
s01,e01,c13,u020,Monica Geller,And who pays for that?,Neutral,[],0
s01,e01,c13,u021,Rachel Green,Um... my... father.,Neutral,[],0
s01,e01,c15,u001,Joey Tribbiani,I can't believe what I'm hearing here.,Neutral,"['Joey Tribbiani', 'Joey Tribbiani']",2
s01,e01,c15,u002,Phoebe Buffay,I can't believe what I'm hearing here...,Joyful,"['Phoebe Buffay', 'Phoebe Buffay']",2
s01,e01,c15,u003,Monica Geller,What? I-I said you had a-,Scared,"['Monica Geller', 'Monica Geller', 'Phoebe Buffay']",3
s01,e01,c15,u004,Phoebe Buffay,What I said you had...,Joyful,"['Phoebe Buffay', 'Monica Geller']",2
s01,e01,c15,u005,Monica Geller,Would you stop?,Mad,['Phoebe Buffay'],1
s01,e01,c15,u006,Phoebe Buffay,"Oh, was I doing it again?",Neutral,['Phoebe Buffay'],1
s01,e01,c15,u007,#ALL#,Yes!,Mad,[],0
s01,e01,c15,u008,Monica Geller,"I said that you had a nice butt, it's just not a great butt.",Peaceful,"['Monica Geller', 'Joey Tribbiani']",2
s01,e01,c15,u009,Joey Tribbiani,"Oh, you wouldn't know a great butt if it came up and bit ya.",Joyful,"['Monica Geller', 'Monica Geller']",2
s01,e01,c15,u010,Ross Geller,There's an image.,Neutral,[],0
s01,e01,c15,u011,Rachel Green,Would anybody like more coffee?,Peaceful,[],0
s01,e01,c15,u012,Chandler Bing,"Did you make it, or are you just serving it?",Scared,"['Rachel Green', 'Rachel Green']",2
s01,e01,c15,u013,Rachel Green,I'm just serving it.,Neutral,['Rachel Green'],1
s01,e01,c15,u014,#ALL#,"Yeah. Yeah, I'll have a cup of coffee.",Joyful,['#ALL#'],1
s01,e01,c15,u015,Chandler Bing,"Kids, new dream... I'm in Las Vegas.",Peaceful,['Chandler Bing'],1
s01,e01,c15,u016,Customer,"Ahh, miss? More coffee?",Scared,[],0
s01,e01,c15,u017,Rachel Green,"Ugh. Excuse me, could you give this to that guy over there? Go ahead. Thank you. Sorry. Okay, Las Vegas.",Mad,"['Rachel Green', 'Customer', 'Customer']",3
s01,e01,c15,u018,Chandler Bing,"Okay, so, I'm in Las Vegas... I'm Liza Minelli-",Neutral,['Chandler Bing'],1
s01,e02,c01,u001,Monica Geller,"What you guys don't understand is, for us, kissing is as important as any part of it.",Joyful,"['Ross Geller', 'Joey Tribbiani', '#GENERAL#', 'Phoebe Buffay', 'Rachel Green', 'Chandler Bing', '#GENERAL#', 'Phoebe Buffay', 'Rachel Green', 'Monica Geller', 'Chandler Bing']",11
s01,e02,c01,u002,Joey Tribbiani,"Yeah, right!.......Y'serious?",Neutral,[],0
s01,e02,c01,u003,Phoebe Buffay,"Oh, yeah!",Joyful,[],0
s01,e02,c01,u004,Rachel Green,Everything you need to know is in that first kiss.,Powerful,"['#GENERAL#', 'Phoebe Buffay', 'Rachel Green', 'Monica Geller', 'Chandler Bing']",5
s01,e02,c01,u005,Monica Geller,Absolutely.,Powerful,[],0
s01,e02,c01,u006,Chandler Bing,"Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.",Joyful,"['Chandler Bing', '#GENERAL#', 'Ross Geller', 'Joey Tribbiani', '#GENERAL#', 'Phoebe Buffay', 'Rachel Green', 'Monica Geller', 'Chandler Bing']",9
s01,e02,c01,u007,Ross Geller,"Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.",Neutral,"['Ross Geller', 'Joey Tribbiani', '#GENERAL#', 'Phoebe Buffay', 'Rachel Green', 'Monica Geller', 'Chandler Bing']",7
s01,e02,c01,u008,Chandler Bing,"The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.",Mad,"['Chandler Bing', 'Ross Geller', 'Joey Tribbiani', '#GENERAL#', 'Chandler Bing', 'Ross Geller', 'Joey Tribbiani', '#GENERAL#', 'Chandler Bing']",9
s01,e02,c01,u009,Rachel Green,"Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone.",Sad,"['Ross Geller', 'Joey Tribbiani', '#GENERAL#', 'Chandler Bing', 'Ross Geller', 'Joey Tribbiani', '#GENERAL#', 'Chandler Bing']",8
s01,e02,c01,u010,Joey Tribbiani,....Are we still talking about sex?,Joyful,"['Ross Geller', 'Joey Tribbiani', 'Phoebe Buffay', 'Rachel Green', 'Monica Geller', 'Chandler Bing']",6
s01,e02,c02,u001,Ross Geller,"No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?",Scared,['Woman 1'],1
s01,e02,c02,u002,Marsha,"Well, she has issues.",Sad,['Woman 1'],1
s01,e02,c02,u003,Ross Geller,Does she.,Scared,['Woman 1'],1
s01,e02,c02,u004,Marsha,"He's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet!",Mad,"['Man 1', 'Woman 1']",2
s01,e02,c02,u005,Ross Geller,"Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?",Neutral,[],0
s01,e02,c02,u006,Marsha,"Speaking of issues, isn't that your ex-wife?",Mad,['Ross Geller'],1
s01,e02,c02,u008,Ross Geller,No. No.,Scared,[],0
s01,e02,c02,u009,Marsha,"Yes, it is. Carol! Hi!",Joyful,[],0
s01,e02,c02,u010,Ross Geller,"Okay, okay, yes, it is. How about I'll, uh, catch up with you in the Ice Age.",Scared,"['Ross Geller', 'Marsha']",2
s01,e02,c02,u012,Ross Geller,Hi.,Neutral,[],0
s01,e02,c02,u013,Carol Willick,So.,Neutral,[],0
s01,e02,c02,u014,Ross Geller,"You look great. I, uh... I hate that.",Scared,['Ross Geller'],1
s01,e02,c02,u015,Carol Willick,Sorry. You look good too.,Joyful,['Ross Geller'],1
s01,e02,c02,u016,Ross Geller,"Ah, well, in here, anyone who... stands erect... So what's new? Still, uh...",Joyful,[],0
s01,e02,c02,u017,Carol Willick,A lesbian?,Neutral,[],0
s01,e02,c02,u018,Ross Geller,"Well... you never know. How's, um.. how's the family?",Peaceful,['Carol Willick'],1
s01,e02,c02,u019,Carol Willick,"Marty's still totally paranoid. Oh, and, uh-",Mad,[],0
s01,e02,c02,u020,Ross Geller,"Why- why are you here, Carol?",Scared,"['Carol Willick', 'Carol Willick']",2
s01,e02,c02,u021,Carol Willick,I'm pregnant.,Neutral,['Carol Willick'],1
s01,e02,c02,u022,Ross Geller,Pregnant?!,Scared,[],0
s01,e02,c06,u001,Ross Geller,"Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway.",Neutral,[],0
s01,e02,c06,u003,Susan Bunch,Hi.,Neutral,[],0
s01,e02,c06,u004,Carol Willick,"Ross, you remember Susan.",Neutral,"['Ross Geller', 'Ross Geller', 'Susan Bunch']",3
s01,e02,c06,u005,Ross Geller,How could I forget?,Mad,['Ross Geller'],1
s01,e02,c06,u006,Susan Bunch,Ross.,Neutral,['Ross Geller'],1
s01,e02,c06,u007,Ross Geller,"Hello, Susan. Good shake. Good shake. So, uh, we're just waiting for...?",Neutral,[],0
s01,e02,c06,u008,Carol Willick,Dr. Oberman.,Neutral,['Dr. Oberman'],1
s01,e02,c06,u009,Ross Geller,..Dr. Oberman. Okay. And is he-,Neutral,['Dr. Oberman'],1
s01,e02,c06,u010,Susan Bunch,She.,Neutral,['Dr. Oberman'],1
s01,e02,c06,u011,Ross Geller,"-she, of course, she- uh- familiar with our.. special situation?",Neutral,[],0
s01,e02,c06,u012,Carol Willick,"Yes, and she's very supportive.",Neutral,['Dr. Oberman'],1
s01,e02,c06,u013,Ross Geller,"Okay, that's great. No, I'm- Oh.",Neutral,['Ross Geller'],1
s01,e02,c06,u014,Carol Willick,Thanks.,Neutral,[],0
s01,e02,c06,u015,Ross Geller,"Quack, quack..",Joyful,[],0
s01,e02,c06,u016,Carol Willick,Ross? That opens my cervix.,Scared,['Carol Willick'],1
s01,e02,c07,u001,Rachel Green,Barry?,Neutral,['Barry Farber'],1
s01,e02,c07,u002,Barry Farber,C'mon in.,Neutral,[],0
s01,e02,c07,u003,Rachel Green,Are you sure?,Scared,['Barry Farber'],1
s01,e02,c07,u004,Barry Farber,"Yeah! It's fine, it's fine. Robbie's gonna be here for hours.",Neutral,"['#OTHER#', '#OTHER#']",2
s01,e02,c07,u005,Robbie,Huh?!,Scared,[],0
s01,e02,c07,u006,Barry Farber,"So, how ya doin?",Peaceful,['Rachel Green'],1
s01,e02,c07,u007,Rachel Green,I'm- uh- I'm okay... You look great!,Sad,['Barry Farber'],1
s01,e02,c07,u008,Barry Farber,"Yeah, well..",Neutral,[],0
s01,e02,c07,u009,Bernice,"Dr. Farber, Jason Greenstein's gagging.",Neutral,"['Barry Farber', 'Jason Greenstein']",2
s01,e02,c07,u010,Barry Farber,Be right there. Be back in a sec.,Neutral,[],0
s01,e02,c07,u012,Rachel Green,I dumped him.,Sad,"['Rachel Green', 'Barry Farber']",2
s01,e02,c07,u013,Robbie,Okay.,Neutral,[],0
s01,e02,c08,u001,Ross Geller,"So, um- so how's this, uh, how's this gonna work? Y'know, with us? Y'know, when, like, important decisions have to be made?",Scared,"['Ross Geller', 'Carol Willick']",2
s01,e02,c08,u002,Carol Willick,Give me a 'for instance'.,Mad,['Carol Willick'],1
s01,e02,c08,u003,Ross Geller,"Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?",Scared,"['Ross Geller', 'Ben Geller']",2
s01,e02,c08,u004,Carol Willick,Marlon-,Powerful,['#OTHER#'],1
s01,e02,c08,u005,Ross Geller,Marlon?!,Mad,['#OTHER#'],1
s01,e02,c08,u006,Carol Willick,"-if it's a boy, Minnie if it's a girl.",Powerful,"['Ben Geller', '#OTHER#', 'Ben Geller']",3
s01,e02,c08,u007,Ross Geller,...As in Mouse?,Mad,['#OTHER#'],1
s01,e02,c08,u008,Carol Willick,As in my grandmother.,Neutral,"['Carol Willick', ""Carol's grandmother""]",2
s01,e02,c08,u009,Ross Geller,"Still, you- you say Minnie, you hear Mouse. Um, how about, um.. how about Julia?",Scared,[],0
s01,e02,c08,u010,Carol Willick,Julia..,Neutral,['#OTHER#'],1
s01,e02,c08,u011,Susan Bunch,We agreed on Minnie.,Powerful,"['Susan Bunch', 'Carol Willick']",2
s01,e02,c08,u012,Ross Geller,"'S'funny, um, uh, we agreed we'd spend the rest of our lives together. Things change, roll with the punches. I believe Julia's on the table..?",Powerful,[],0
s01,e02,c09,u001,Barry Farber,Sorry about that. So. What have you been up to?,Neutral,[],0
s01,e02,c09,u002,Rachel Green,"Oh, not much. I-I got a job.",Scared,"['Rachel Green', 'Rachel Green']",2
s01,e02,c09,u003,Barry Farber,"Oh, that's great.",Joyful,[],0
s01,e02,c09,u004,Rachel Green,Why are- why are you so tanned?,Scared,['Barry Farber'],1
s01,e02,c09,u005,Barry Farber,"Oh, I, uh- I went to Aruba.",Scared,"['Barry Farber', 'Barry Farber']",2
s01,e02,c09,u006,Rachel Green,Oh no. You went on our honeymoon alone?,Mad,"['Barry Farber', 'Barry Farber', 'Rachel Green']",3
s01,e02,c09,u007,Barry Farber,"No. I went with, uh.. Now, this may hurt.",Neutral,['Barry Farber'],1
s01,e02,c09,u008,Robbie,Me?!,Neutral,['Robbie'],1
s01,e02,c09,u009,Barry Farber,No! I went with Mindy.,Scared,"['Barry Farber', 'Mindy Hunter']",2
s01,e02,c09,u010,Rachel Green,"Mindy?! My maid of honour, Mindy?!",Mad,"['Rachel Green', 'Mindy Hunter']",2
s01,e02,c09,u011,Barry Farber,"Yeah, well, uh, we're kind of a thing now.",Scared,"['Mindy Hunter', 'Barry Farber']",2
s01,e02,c09,u012,Rachel Green,"Oh! Well, um.. You've got plugs!",Mad,[],0
s01,e02,c09,u013,Barry Farber,Careful! They haven't quite taken yet.,Mad,['#GENERAL#'],1
s01,e02,c09,u014,Rachel Green,And you've got lenses! But you hate sticking your finger in your eye!,Mad,"['Barry Farber', 'Barry Farber', 'Barry Farber']",3
s01,e02,c09,u015,Barry Farber,"Not for her. Listen, I really wanted to thank you.",Peaceful,"['Barry Farber', 'Rachel Green']",2
s01,e02,c09,u016,Rachel Green,Okay..,Mad,[],0
s01,e02,c09,u017,Barry Farber,"See, about a month ago, I wanted to hurt you. More than I've ever wanted to hurt anyone in my life. And I'm an orthodontist.",Neutral,"['Barry Farber', 'Barry Farber']",2
s01,e02,c09,u018,Rachel Green,Wow.,Scared,[],0
s01,e02,c09,u019,Barry Farber,"You know, you were right? I mean, I thought we were happy. We weren't happy. But with Mindy, now I'm happy. Spit.",Joyful,"['Barry Farber', 'Barry Farber', 'Mindy Hunter', 'Barry Farber', 'Rachel Green']",5
s01,e02,c09,u020,Rachel Green,What?,Scared,[],0
s01,e02,c09,u021,Robbie,Me.,Sad,['Robbie'],1
s01,e02,c09,u022,Rachel Green,"Anyway, um, I guess this belongs to you. And thank you for giving it to me.",Sad,"['Barry Farber', 'Rachel Green']",2
s01,e02,c09,u023,Barry Farber,"Well, thank you for giving it back.",Sad,['Rachel Green'],1
s01,e02,c09,u025,Robbie,Hello?!,Scared,[],0
s01,e02,c10,u001,Susan Bunch,"Oh, please! What's wrong with Helen?",Mad,['#OTHER#'],1
s01,e02,c10,u002,Ross Geller,Helen Geller? I don't think so.,Mad,['Ross Geller'],1
s01,e02,c10,u003,Carol Willick,Hello? It's not gonna be Helen Geller.,Powerful,['#OTHER#'],1
s01,e02,c10,u004,Ross Geller,Thank you!,Powerful,['Carol Willick'],1
s01,e02,c10,u005,Carol Willick,"No, I mean it's not Geller.",Powerful,"['Carol Willick', '#OTHER#']",2
s01,e02,c10,u006,Ross Geller,"What, it's gonna be Helen Willick?",Mad,['#OTHER#'],1
s01,e02,c10,u007,Carol Willick,"No, actually, um, we talked about Helen Willick-Bunch.",Neutral,"['Ross Geller', 'Susan Bunch', 'Carol Willick', '#OTHER#']",4
s01,e02,c10,u008,Ross Geller,"Well, wait a minute, wha- why is she in the title?",Mad,['Susan Bunch'],1
s01,e02,c10,u009,Susan Bunch,It's my baby too.,Powerful,"['Susan Bunch', 'Ben Geller']",2
s01,e02,c10,u010,Ross Geller,"Oh, 's'funny, really? Um, I don't remember you making any sperm.",Mad,"['Ross Geller', 'Susan Bunch']",2
s01,e02,c10,u011,Susan Bunch,"Yeah, and we all know what a challenge that is!",Mad,"['Ross Geller', 'Susan Bunch', '#GENERAL#', 'Carol Willick']",4
s01,e02,c10,u012,Carol Willick,"All right, you two, stop it!",Mad,"['Ross Geller', 'Susan Bunch']",2
s01,e02,c10,u013,Ross Geller,"No no no, she gets a credit, hey, I'm in there too.",Mad,"['Susan Bunch', 'Ross Geller']",2
s01,e02,c10,u014,Carol Willick,Ross. You're not actually suggesting Helen Willick-Bunch-Geller? 'Cause I think that borders on child abuse.,Neutral,"['Ross Geller', '#OTHER#']",2
s01,e02,c10,u015,Ross Geller,"Of course not, I'm... suggesting Geller-Willick-Bunch.",Powerful,['#OTHER#'],1
s01,e02,c10,u016,Susan Bunch,"Oh, no, nonononono, you see what he's doing? He knows no-one's gonna say all those names, so they'll wind up calling her Geller, then he gets his way!",Mad,"['Ross Geller', '#GENERAL#', '#GENERAL#', 'Ben Geller', '#OTHER#', 'Ross Geller', 'Ross Geller']",7
s01,e02,c10,u017,Ross Geller,"My way?! You-you think this is my way? Believe me, of all the ways I ever imagined this moment in my life being, this is not my way- y'know what? Uh, um, this is too hard. I'm not, I can't do-",Mad,"['Susan Bunch', 'Susan Bunch', 'Ross Geller']",3
s01,e02,c10,u018,Dr. Oberman,Knock knock!How are we today? Any nausea?,Neutral,"['Ross Geller', 'Susan Bunch', 'Dr. Oberman', 'Rachel Green', 'Carol Willick']",5
s01,e02,c10,u019,#ALL#,Yeah. Yeah. A little.,Neutral,[],0
s01,e02,c10,u020,Dr. Oberman,"Well, I was just wondering about the mother-to-be, but.. thanks for sharing. Uh, lie back..",Neutral,[],0
s01,e02,c10,u021,Ross Geller,"You- uh- y'know what, I'm gonna go. I don't- I don't think I can be involved in this particular thing right now.",Sad,"['Ross Geller', 'Ross Geller', 'Ross Geller']",3
s01,e02,c10,u023,Ross Geller,Oh my God.,Joyful,[],0
s01,e02,c10,u024,Susan Bunch,Look at that.,Joyful,[],0
s01,e02,c10,u025,Carol Willick,I know.,Joyful,['Carol Willick'],1
s01,e02,c11,u001,Ross Geller,Well? Isn't that amazing?,Joyful,[],0
s01,e02,c11,u002,Joey Tribbiani,What are we supposed to be seeing here?,Neutral,"['Ross Geller', 'Joey Tribbiani', 'Phoebe Buffay', 'Monica Geller', 'Chandler Bing']",5
s01,e02,c11,u003,Chandler Bing,"I dunno, but.. I think it's about to attack the Enterprise.",Joyful,['Chandler Bing'],1
s01,e02,c11,u004,Phoebe Buffay,"You know, if you tilt your head to the left, and relax your eyes, it kinda looks like an old potato.",Joyful,"['#GENERAL#', '#GENERAL#', '#GENERAL#', '#GENERAL#']",4
s01,e02,c11,u005,Ross Geller,"Then don't do that, alright?",Mad,[],0
s01,e02,c11,u006,Phoebe Buffay,Okay!,Neutral,[],0
