season_id,episode_id,scene_id,plot
s01,e03,c10,No plot availble for scene
s01,e03,c11,Ross is berated for smoking cigarettes . Ross is yelled at over the phone by Allan . Joey and Ross dissaprove about cigarrete usage .
s01,e03,c12,No plot availble for scene
s01,e03,c13,No plot availble for scene
s01,e03,c14,"The episode ends with Phoebe giving the $ 7,000 to Chandler if he promises to never smoke again , which he agrees to . Chandler is tempted to start smoking again , but Phoebe convinces Chandler not to by offering Chandler money ."
s01,e04,c01,"Monica , Roos , Phoebe , Chandler and Rachel discuss what they would do if they were omnipotent ."
s01,e04,c02,No plot availble for scene
s01,e04,c03,"Ross keeps noticing things that remind him of Carol , and it begins to annoy on Joey and Chandler . Eventually , Ross finally gets to see a doctor , while Joey and Chandler discuss the fact that Ross has only ever been with one woman ."
s01,e04,c04,Kiki tells Rachel that everyone is still talking about how kiki left Barry at the altar . Kiki and Joanne ask about a friend 's job .
s01,e04,c05,"Ross and Monica notice that Phoebe has fallen asleep on the couch in Central Perk . Rachel laughs and tries to clarify that she is staying in the city for good . Back at the apartment , Monica and Phoebe are preparing for their slumber party . Rachel enters , and starts drinking Apparently , the Visa card people noticed some unusual activity on Rachel 's account : Rachel has n't used her card for weeks . Monica eats a bowl of cookie dough and Phoebe drinks "" Tiki Death Punch "" . Rachel is upset about Rachel 's current life situation . Monica , Rachel , and Phoebe are getting ready to play a game when Phoebe answers a phone call about Rachel 's credit card usage ."
s01,e04,c06,No plot availble for scene
s01,e04,c07,Monica talks abotu being independent and brave to turn down daddy 's money . Monica thinks that the Jack mentioned is the Jack from downstairs .
s01,e04,c08,"All three guys are having a great time , until Ross is hit in the face with the hockey puck and they are forced to head to the emergency room . Ross and Joey are playing hockey but the puck hits Ross in the face ."
s01,e04,c09,Ross and Joey show up at the Emergency Room and they try to bully the receptionist into faster service because they are frustrated they ca n't get in sooner .
s01,e04,c10,No plot availble for scene
s01,e04,c11,No plot availble for scene
s01,e04,c12,"Monica , Rachel and Phoebe spy on George and George 's date . Monica , Rachel and Phoebe spy on George and George 's date and talk about George 's personality . Rachel and Monica wonder what George is like ."
s01,e04,c13,"Ross , upset about it being the anniversary of his first time with Carol , goes to a hockey game with Chandler and Joey and gets a puck in the face ; they end up at the hospital , where Ross reveals that Carol is the only woman he 's even been intimate with . ROSS IS UPSET THAT CAROL GOT MARRIED ROSS IS UPSET Ross , looking at the tickets , then realizes that it is the anniversary of their first sleeping together . Russ discusses the signifigance of his relationship with Carol . Joey and Chandler discover the Carol was Ross 's first . Ross reveals that he actually lost his virginity to Carol , so he has only ever been with one woman ."
s01,e04,c14,"Monica announces that a vegetable pâté that Monica had once made for Phoebe , a vegetarian , was actually made from goose . Monica was a big girl in high school . Phoebe is disgusted and triumphantly tells Monica that she does n't feel bad about sleeping with a guy a couple of hours after he and Monica had broken up . This upsets Monica , but Rachel takes it further by revealing that the valentine that she received from Tommy Rollerson was actually from her . Monica retaliates by announcing that Rachel once peed her pants in seventh grade while she was laughing . Rachel , Phoebe , and Monica talk about being dishonest . The girls beg George to drop George 's towel , and they are very happy when George does . Rachel tells Monica that Rachel left a fake valentine for Monica ."
s01,e04,c15,"Chandler and Joey give Ross a hard time about breaking is nose at the hockey game Chandler starts off by saying that it is sweet and romantic , but Chandler then admits that Ross is a freak . A receptionist is hit by a flying puck after Ross and a kid struggle over it . Ross returns to the waiting room with a piece of steel bandaged to his nose . The receptionist looks at Ross and sarcastically comments at how attractive he looks . Ross wants the hockey puck as a souvenir , but a bratty child in the waiting area has it . An innocent receptionist is smacked in the face by a puck when Ross and a child struggle over it . Ross asks to have the puck back but the kid refuses . Chandler talks about Ross only having sex with one woman . Ross tries to snatch it away , but it flies out of Ross 's grasp and knocks the receptionist out , which finally puts a smile on Ross 's face . Chandler and Joey discuss how it is weird to only have sex with one person ."
s01,e04,c16,"The phone rings - it is Rachel 's credit card company . The credit card company calls Rachel again , so Chandler takes Rachel 's place in the game so that Rachel can speak to the company . Ross , Monica , Rachel , and Phoebe are playing Twister . When asked about Rachel not using Rachel 's card in a while , Rachel tells them that Rachel is fine , and saying it out loud finally makes Rachel confident in Rachel 's independence ."
s01,e05,c01,"Rachel points out that guys can urinate standing up , while Joey notes that women can see breasts whenever they want . Ross , Joey , Chandler , Rachel and Monica compare the differences between men and women . Phoebe then wonders how guys can be mean and not even care . Ross then points out that women can have multiple orgasms , and this is the decisive point for the men . Joey ponders on which gender has more advantages ."
s01,e05,c02,No plot availble for scene
s01,e05,c03,"Ugly Naked Guy lays kitchen tile while Joey and Monica have a conversation about dating . Angela has a brother named Bob , he 's smart , sophisticated , and has a real job ."
s01,e05,c04,No plot availble for scene
s01,e05,c05,"However , when Angela and Bob arrive , she finds him attractive , so she forgives Joey . yes In the restroom , Monica 's confusion increases when Angela tells her how good Bob is in bed . Monica and Joey enter , triumphant because they successfully broke up Bob and Angela . Bob and Angela came together ."
s01,e05,c06,No plot availble for scene
s01,e05,c07,No plot availble for scene
s01,e05,c08,No plot availble for scene
s01,e05,c09,Joey is worried Angela is too sexual for him . Bob and Joey worry about Angela and Monica .
s01,e05,c10,No plot availble for scene
s01,e05,c11,No plot availble for scene
s01,e05,c12,"Rachel is bewildered and upset . Rachel put a red sock in her white laundry , and now her laundry is pink . Rachel laments to Ross that Rachel 's laundry skills are pathetic . However , Rachel 's mood plummets when Rachel and Ross discover that a red sock got caught up in Rachel 's white laundry and has turned everything pink ."
s01,e05,c13,"Monica and Joey are trying to split up another couple , so both can date who they would like ."
s01,e05,c14,"An over-energized Chandler , having consumed eleven espressos , accidentally flails his hand and hits Janice in the eye . Phoebe tries to calm Chandler down , but Phoebe realizes that Chandler ca n't break up with Janice , so Phoebe goes over and does it for Chandler . Janice leaves Central Perk , but not before smiling and waving at Chandler . Chandler is attempting to break up with Janice when he accidentally hit her eye . Phoebe steps in to comfort Janice , and Chandler is relieved because as usual this break up was going poorly ."
s01,e05,c15,"Rachel is so happy about Rachel 's laundry experience that Rachel kisses Ross . A woman tries to take Rachel 's laundry cart . Rachel kisses Ross after getting into a cart . Rachel and Ross fight with a woman over a laundry cart . Ross stands up to the woman and helps Rachel get the machine back . Ross then teaches Rachel how to do laundry , furthering Rachel 's new independence . Ross and Rachel struggle with the laundry mat bully over a clothes cart . Later , the horrible woman steals Ross and Rachel 's cart , but Rachel finally stands up to her on her own . Feeling victorious , Rachel kisses Ross . In shock , Ross bangs Ross ' head on the door of a washing machine and falls over . Rachel stand up for Rachel in a laundromat , announcing the new Rachel . Ross and Rachel do laundry at the laundry mat . Ross and Rachel stand up to the laundry mat bully ."
s01,e05,c16,"Rachel asks where Chandler is , and Phoebe responds that Chandler needed time to grieve , only to see Chandler running down the street , joyously yelling ,"
s01,e06,c01,"Ross , Phoebe , and Ross attend Joey 's new musical , Freud ! The friends attend Joey 's new musical , Freud ! Ross , Rachel , Chandler , and Phoebe watch a play about Freud ."
s01,e06,c02,No plot availble for scene
s01,e06,c03,No plot availble for scene
s01,e06,c04,No plot availble for scene
s01,e06,c05,"Joey , meanwhile , notes that Joey has to know Joey 's dating more people than Joey 's girlfriend . Chandler is enjoying things with Aurora , but deep down , he wants to commit . Joey takes a bath at Monica 's Chandler and Joey are in the other apartment using stuff from there ."
s01,e06,c06,No plot availble for scene
s01,e06,c07,No plot availble for scene
s01,e06,c08,No plot availble for scene
s01,e06,c09,No plot availble for scene
s01,e07,c01,No plot availble for scene
s01,e07,c02,No plot availble for scene
s01,e07,c03,"New York City is having a blackout and Monica and Phoebe make phone calls . The rest of the gang hangs out at Monica and Rachel 's apartment . During a power blackout , the gang hangs out at Monica and Rachel 's apartment . Monica is talking with Monica 's mother to the phone . Phoebe want to call Phoebe 's apartment and check on Phoebe 's grandma ."
s01,e07,c04,"Chandler is trapped in an ATM vestibule with Jill Goodacre . Chandler , to Chandler 's delight finds Chandler trapped inside an ATM vestibule with Victoria 's Secret model Jill Goodacre . Chandler quibbles over whether he is in a vestibule or Atrium while being trapped with a model ."
s01,e07,c05,They are talking as Phoebe spots a naked guy out of the window . Chandler 's old roomate was Jewish .
s01,e07,c06,No plot availble for scene
s01,e07,c07,Monica and Joey find out a friend of theirs is trapped in an ATM with Jill Goodacre
s01,e07,c08,No plot availble for scene
s01,e07,c09,No plot availble for scene
s01,e07,c10,No plot availble for scene
s01,e07,c11,"A wandering cat jumps on Ross ' shoulders before Ross can tell Rachel Ross ' feelings. , and there is an amusing scene where Ross panics and flails about , trying to throw the cat off of him , causing the cat to dig its claws into Ross ' shoulder as it desperately holds on . This all happens while Phoebe , Monica , and Joey sing , oblivious to Ross 's struggle . Rachel was distracted by the cat on the roof ."
s01,e07,c12,"Tooty is lost and scared , and Phoebe and Rachel want to help find Tooty 's owner ."
s01,e07,c13,No plot availble for scene
s01,e07,c14,"Mr. Heckles tries to claim the cat , but it obviously is n't his . Phoebe and Rachel try to return a cat to Mr. Heckles . Rachel and Phoebe go knocking on Rachel and Phoebe 's neighbor 's doors to find the cat 's owner , and when a neighbor named Mr. Heckles lies about being the owner , Rachel and Phoebe see through Mr Heckles ' bluff ."
s01,e07,c15,No plot availble for scene
s01,e07,c16,"The cat turns out to belong to Paolo , an Italian hunk who lives in the building and does n't speak much English . On the mission , the girls bump into the hunky , and actual cat - owner , Paolo , who only speaks Italian . Phoebe comes in and says she could n't find the cat ."
s01,e07,c17,No plot availble for scene
s01,e07,c18,No plot availble for scene
s01,e07,c19,Jill tries to teach Chandler a trick .
s01,e07,c20,No plot availble for scene
s01,e07,c21,"Once power is restored , Jill kisses him and leaves , which leads Chandler to talk to the bank security camera , requesting a copy of the security tape ."
s01,e08,c01,No plot availble for scene
s01,e08,c02,No plot availble for scene
s01,e08,c03,No plot availble for scene
s01,e08,c04,"Shocked , Chandler debates with the guys how he could possibly give off a homosexual vibe . Phoebe recalls Phoebe 's lost loved ones . Chandler has homosexual hair ."
s01,e08,c05,No plot availble for scene
s01,e08,c06,No plot availble for scene
s01,e08,c07,"Chandler is flattered to be offered to be set up on a date by Shelly , a female work colleague , until Chandler learns that his potential date is a man . Chandler asks Shelley what it is that made her think he was gay , Chandler 's offended when Shelley suggests he would have been cute with Lowell and not Brian who is out of Chandler 's League . Shelley thinks Chandler is gay ."
s01,e08,c08,"The three debate about which shoes to choose , and while Ross reaches for another shoebox he gets showered in Nana 's stolen sweeteners . Aunt Lillian and Mrs. Gellar tried to choose an outfit ."
s01,e08,c09,"Chandler and Phoebe find themselves on different wavelengths when discussing Phoebe 's custom , imported attire ."
s01,e08,c10,"Ross and Monica 's grandmother dies ... twice ; At the funeral , Joey watches a football game on a portable TV ; Ross falls into an open grave and hurts Ross ' back , then gets a bit loopy on muscle relaxers . At the funeral , several incidents happen : Ross falls in an open grave and is given painkillers by Ross 's mother Judy ; Monica is picked on by Monica 's mother at the funeral when Judy advises Monica to start using night cream and leave Monica 's hair down as Monica 's ears are n't Monica 's Rachel is upset her Paolo shows get dirty"
s01,e08,c11,No plot availble for scene
s01,e08,c12,Chandler 's baby naked picture was revealed
s01,e08,c13,"Lowell assures Chandler that he 's not giving the gay vibe , but also tells Chandler that he could have never gotten a Brian from payroll , as he 's Chandler leaves the break room stating that Chandler could get a Brian if Chandler wanted to , greeting Brian , who seems to have overheard bits of the conversation , on his way out ."
s01,e09,c01,Rachel asks her boss for an advance in her pay to go on vacation .
s01,e09,c02,No plot availble for scene
s01,e09,c03,No plot availble for scene
s01,e09,c04,"Monica and Ross decide to have Thanksgiving dinner at Monica 's . Chandler instead plans to stay in and eat what Monica calls a Rachel can now go to Vail because Rachel received an envelope of money . While Monica cooks the meal , Ross decides to spend some "" talking time "" with the baby but finds it difficult to talk to Carol 's uterus . The group bands together to get Rachel money that was needed . The friends pitch in and give Rachel the money that she needs to see her family Chandler explains a bad memory involving Thanksgiving Chandler talks about why he hates Thanksgiving ."
s01,e09,c05,"Joey poses for a health poster , but later finds out Joey 's become the V.D. poster boy ."
s01,e09,c06,No plot availble for scene
s01,e09,c07,No plot availble for scene
s01,e09,c08,No plot availble for scene
s01,e09,c09,No plot availble for scene
s01,e09,c10,Joey and Chandler have a copy of the key .
s01,e09,c11,"When Carol reminds Ross not to do this to be in competition with Susan , Ross gets over it and starts recounting the story of Ross 's life to the fetus ."
s01,e09,c12,No plot availble for scene
s01,e09,c13,No plot availble for scene
s01,e10,c01,"Ross gets a monkey named Marcel . The holidays are coming , and Ross introduces the guys to his new roommate , Marcel the monkey . Monia 's brother gets a pet monkey , Marcel , and is questioned by Monica , Phoebe and Chandler"
s01,e10,c02,No plot availble for scene
s01,e10,c03,No plot availble for scene
s01,e10,c04,No plot availble for scene
s01,e10,c05,No plot availble for scene
s01,e10,c06,"Phoebe and Ross were discussing asking someone to stay instead of go to Minsk However , David is not sure whether to go because of Phoebe , and when David asks Phoebe to decide for David , Phoebe makes David stay . Max leaves because David does not want to work abroad . Just as Phoebe 's night promises to be a good one , Max reveals to David how despite David 's decision to stay , he 's still going to Minsk . David decides not to go to Minsk so that he can be with his girlfriend , and Max is angry about David 's decision ."
s01,e10,c07,No plot availble for scene
s01,e10,c08,No plot availble for scene
s01,e11,c01,Phoebe incites Monica to whistle at a cute guy the two see walking on the street . Monica and Phoebe inadvertently get a random guy hit by a truck . Monica wanted to be cool .
s01,e11,c02,Monica argues with Phoebe as she tries to wake a comatose patient .
s01,e11,c03,No plot availble for scene
s01,e11,c04,"Glen and Agamemnon were possible names for the plant , but Monica says Agamemnon was too special ."
s01,e11,c05,No plot availble for scene
s01,e11,c06,No plot availble for scene
s01,e11,c07,Monica discovers that Phoebe is visiting the guy in a coma without Monica .
s01,e11,c08,"Paolo kissed Chandler 's mom much to Chandler 's surprise . Chandler is mad that Joey did not tell Chandler about the kiss . Ross tries to explain everything to Joey , who is mad at Ross for "" breaking the code ( of never kissing a friend 's mom ) "" and also for not thinking that Joey 's mom is as attractive as Mrs. Bing . Unsurprisingly , Chandler gets mad at Ross and remains angry at Ross for some time , until Chandler gets the courage to face his mother , after which Chandler makes his peace with Ross ' incident ."
s01,e11,c09,No plot availble for scene
s01,e11,c10,No plot availble for scene
s01,e11,c11,No plot availble for scene
s01,e11,c12,No plot availble for scene
s01,e12,c01,No plot availble for scene
s01,e12,c02,No plot availble for scene
s01,e12,c03,"Joey and Chandler 's kitchen table breaks after Joey tosses his keys onto it , so they decide to get a new one ."
s01,e12,c04,No plot availble for scene
s01,e12,c05,"At the furniture store , Joey and Chandler debate over who should purchase a new table . Joey and Chandler discuss their relationship ."
s01,e12,c06,Phoebe and Phoebe 's assistant talk about Phoebe 's schedule for the rest of the day until Phoebe returns to work .
s01,e12,c07,No plot availble for scene
s01,e12,c08,No plot availble for scene
s01,e12,c09,No plot availble for scene
s01,e12,c10,Phoebe makes the best oatmeal - raisin cookies in the world and Rachel agrees .
s01,e12,c11,"Joey and Chandler have to get a new table , but Joey and Chandler ca n't agree on which one ; Joey and Chandler end up with a foosball table ; Monica rules the foosball field . Chandler and Joey got a foosball table , and Monica beat them on their first game . When their roommate gets a new foosball table , Monica , Joey and Ross get excited about trying it out ."
s01,e12,c12,Phoebe comes clean on attraction towards Paolo
s01,e12,c13,Joey and Chandler are telling Ross that he needs to take advantage of Rachel 's breakup . Joey and Chandler encourage Ross to take advantage of Rachel 's break up with Paolo . They talk about Rachel being ready to be swooned .
s01,e12,c14,No plot availble for scene
s01,e12,c15,No plot availble for scene
s01,e13,c01,No plot availble for scene
s01,e13,c02,No plot availble for scene
s01,e13,c03,"Joey finds out his dad has been having an affair with Ronni , a pet mortician , for six years ; he insists his dad either break it off or confess , but it turns out his mom already knew -- and did n't want it to stop . Joey 's mother then shows up to confess how she knows of the affair ."
s01,e13,c04,No plot availble for scene
s01,e13,c05,No plot availble for scene
s01,e13,c06,No plot availble for scene
s01,e13,c07,Chandler 's initial peep on Rachel leads to a series of people trying to even the score by seeing their peeper nude .
s01,e13,c08,"Joey , intercepts a telephone conversation Joey believed Joey 's dad was having with Joye 's mother , and finds out about Joye 's father 's mistress , Ronni Rapalono . Ronni stops by Rachel 's apartment to use Rachel 's shower . Joey was behind a curtain naked ."
s01,e13,c09,"When Monica , Rachel , Ross , Chandler , and Joey are invited to dinner by Roger , they talk about how much they hate him ."
s01,e13,c10,No plot availble for scene
s01,e13,c11,"The friends come to see this , and tell Phoebe they hate him ."
s01,e13,c12,"Joey can do nothing except make his peace with the whole thing , albeit grudgingly . Joey 's mom pretends she does n't know of Joey 's dad affairs and Rachel and Chandler discuss about the possibity of becoming like them soon . Joey tells them that his dad will keep cheating on his mom and their nothing he can do about it"
s01,e13,c13,"Each time of the wrong person is seen - Rachel , looking for Chandler , glimpses Joey ; Joey , looking for Rachel , walks in on Monica ; and Monica , looking for Joey , gets a glimpse of Joey 's dad . Monica tries to get back at Chandler 's roommate by surprising him in the bathroom , only to find his dad in the shower ."
s01,e14,c01,Joey and Chandler are discussing ways to get their friend in with a Woman .
s01,e14,c02,"Joey ca n't go out with his date , Lorraine , unless he brings a friend for her friend ; Chandler agrees to go , but the date turns out to be Janice ; Somehow they end up together again ; Janice buys Chandler candy hearts for Valentines Day ; Chandler breaks up with her -- again . Joey has a beautiful date for the night before Valentine 's Day , but she insists that they double date with her friend , so Joey pulls Chandler along ."
s01,e14,c03,Joey and Chandler get ready for a double date .
s01,e14,c04,No plot availble for scene
s01,e14,c05,"Phoebe , Monica , and Rachel have a cleansing ritual to rid themselves of bad luck with men , which turns into a small fire ; Fireman guys come to the rescue . Rachel and Monica are discussing past bad boyfriends , Phoebe joins the conversation and suggests something to break the cycle of bad boyfriends . Rachel and Monica are discussing past boyfriends when Phoebe gives them a suggestion she got from a friend on how to break the bad boyfriend cycle . Phoebe , Rachel and Monica spend the holiday burning mementos of their past boyfriends , including Rachel 's Pete Carney , who always cried after sex , and Monica 's Howard , the Phoebe wants to do a ritual for Valentine 's Day"
s01,e14,c06,No plot availble for scene
s01,e14,c07,No plot availble for scene
s01,e14,c08,"Chandler , who has no idea who he 'll be hooking up with , meets his doom , Janice ."
s01,e14,c09,"Unfortunately for Ross , Carol and Susan also dine at the same Japanese restaurant and are seated at the same grill table . Ross forgets to tell his date that his ex wife is pregnant with his baby . When Susan leaves on an emergency , Ross insists that Carol move to his end of the table . His date , Kristen , already uncomfortable with her date 's ex at the same table , slips away , leaving Ross alone with Carol . Kristin was surprised that Carol and Susan were lovers ."
s01,e14,c10,"However , things get out of control as Rachel pours Paolo 's remaining grappa in the bonfire , which almost burns the apartment . The fire , in a way , is a good omen , as Rachel , Phoebe and Monica get three cute firemen to put out the fire and ask them for drinks at the end of their shift . Phoebe , Rachel and Monica are burning things they have from ex-boyfriends when Rachel throws in wine from Paolo causing a burst of flames . Phoebe throws the directions for the ceremony in the fire ."
s01,e14,c11,Joey gives advice on how to dump an annoying girlfriend on Valentine 's day .
s01,e14,c12,"Ross goes on a date with a Kristen , a woman from his apartment building ; Carol and Susan show up at the same restaurant ; Susan gets paged and leaves ; Ross pays so much attention to Carol that he does n't even notice his date has gone . Ross makes his date with Kristin awkward by inviting Carol to join . Carol reluctantly joins Ross on his date with Kristin ."
s01,e14,c13,"Monica and Rachel were discovered to be having a "" boyfriend bonfire "" ."
s01,e14,c14,"Janice reminds Chandler that Janice thinks they 're meant to be together . Janice is obbsessing over Chandler after Chandler breaks up with Janice . Janice has had candy hearts printed with "" Chan and Jan Forever . "" Chandler thinks things are not gon na work out . Chandler is surprised about receiving little candy hearts rather than a loaded gun ."
s01,e14,c15,"Ross also gets a date -- Ross 's first one since Ross 's divorce with Carol -- with a beautiful neighbor of Ross 's named Kristen . Ross tries to convince Carol that they should give Ross and Carol 's marriage another chance , but Carol reminds Ross that Carol really is a lesbian . Ross focuses his attention on Carol rather than his date ."
s01,e14,c16,No plot availble for scene
s01,e14,c17,No plot availble for scene
s01,e15,c01,"Joey , Ross , and Monica obtain hot drinks and Monica notices a pencil in her cider instead of a cinamon stick ."
s01,e15,c02,No plot availble for scene
s01,e15,c03,No plot availble for scene
s01,e15,c04,No plot availble for scene
s01,e15,c05,No plot availble for scene
s01,e15,c06,No plot availble for scene
s01,e15,c07,No plot availble for scene
s01,e15,c08,No plot availble for scene
s01,e15,c09,No plot availble for scene
s01,e15,c10,No plot availble for scene
s01,e15,c11,No plot availble for scene
s01,e15,c12,"he goes out with Celia , a woman from the museum , who wants him to talk dirty ; it 's a skill he has n't quite mastered ... at first ."
s01,e15,c13,No plot availble for scene
s01,e15,c14,"In revenge for ruining Monica 's new job opportunity , Phoebe massages Steve , jabbing Steve with Pheobe 's elbows up and down Steve 's back , causing Steve to yell in pain ."
s01,e16,c01,"Chandler and Joey meet Ursula , Phoebe 's twin sister ; Joey begins dating Ursula , but that bothers Phoebe , who does n't get along with her sister very well . While dining out , Joey and Chandler meet Phoebe 's twin sister , Ursula . Joey sees Ursula ( Pheobe 's identical twin sister ) and thinks she is Pheobe . Ursula ( Pheobe 's identical twin sister ) is waiting tables at a restraunt close to where she lives . Joey waves off to the waitress to get attention ."
s01,e16,c02,No plot availble for scene
s01,e16,c03,Ross attends Lamaze classes with Carol and Susan . Ross attempts to explain his relationship with Carol and Susan . Carol thinks marriage is little complicted .
s01,e16,c04,Nina asks that number not be post dated as to not upset the WENUS .
s01,e16,c05,No plot availble for scene
s01,e16,c06,No plot availble for scene
s01,e16,c07,"At work , Chandler has to fire an employee for the first time ever . At work , Chandler and Mr. Douglas talk about the Annual Net Usage Statistics and how they 're not good ."
s01,e16,c08,"When strange things start happening around Nina ( such as colleagues taking her scissors away from her ) , she works out her suspicions about this to Chandler , who tries to cover everything to her that she 's getting a pay rise . Chandler nervously asks Nina , to her surprise , if she would like to go to dinner sometime . Nina rubs Chandler 's thigh and is asked out by him ."
s01,e16,c09,No plot availble for scene
s01,e16,c10,No plot availble for scene
s01,e16,c11,"Chandler ca n't bear to fire an employee he 's attracted to , so Chandler starts to date Nina and tells everyone else she 's mentally unbalanced , so it is n't safe to fire her ; Nina begins to notice people treating her oddly , so Chandler has to come clean . Chandler keeps going out with Nina , but when Mr. Douglas sees her still at work , Mr. Douglas asks Chandler why Nina 's has not been fired yet . Nina escapes her encounter with Mr. Douglas but Chandler is left to trying to explain why she has n't been fired . Mr. Douglas questions Nina 's mental health . Mr Douglas is wondering why Nina is still working there after supposedly being fired ."
s01,e16,c12,"Ross attends Lamaze class with Carol and Susan ; Carol is n't sure Carol can go through with the delivery ; Ross realizes Ross is really going to be a father . Several lessons along , Carol experiences false labor and Susan consoles carol by reminding carol how giving birth will make them parents for the rest of their lives , which makes Ross doubt susan parental skills . Susan and Carol are at a birthing class ."
s01,e16,c13,Ross worries about raising a child while Rachel comforts him
s01,e16,c14,No plot availble for scene
s01,e16,c15,No plot availble for scene
